Подача;Куда ехать;Важная;В пути;Завершен;Время заказа;Время на заказе;На месте;Отмена;Время подачи;Принят;Время создания;Дата заказа;Деталировка поездки;Детское кресло;Затратный центр;Источник;Категории;Километраж;Количество;Компания;Координаты;Координаты куда;Кост Код;Купон;Купон (%);НДС;#;Опции;Ответственный;Подразделение;Подразделение;Позывной;Показывать номер;Примечание;Принят водителем;Причина отказа;Район;Район куда;Расчёт;Расчёт;СЛИП;Служебная информация;СМС;Создал;Способ оплаты;Статус;Тип;ТС;Цель поездки;ID;old_uuid
Южная дорога, 15;проспект Сизова, 12к2;;;22.02.2018 23:26;22.02.2018 23:44;23:26:36;;;23:26:28;;22.02.2018 23:26;22.02.2018 23:44;;0;;;1;;0;;30.2323807049,59.9700788975;30.269183,60.004883;;0;0;0;9772;0;;;;704178;;;;Reject: manual;;;0;22.02.2018 23:26;;;;;Наличные;Отменен;Яндекс;Volkswagen Polo;;969a26f5fdca4b2a9de1c1c4ed0ab14e;
Алтайская улица, 20;Колпино, улица Карла Маркса, 14А;;22.02.2018 23:41;23.02.2018 0:03;22.02.2018 23:36;0:22:49;22.02.2018 23:36;;0:05:16;22.02.2018 23:31;22.02.2018 23:31;22.02.2018 23:36;;0;;;1;;0;;30.3310509134,59.849825547;30.58892,59.750458;;0;0;107,1;9774;0;;;;190178;;;;;;;0;22.02.2018 23:31;;;;;Наличные;Завершен;Яндекс;Hyundai Solaris;;5000f5f9effc42249395968eef3c5ad2;
Спортивная улица;площадь Восстания;;22.02.2018 23:44;22.02.2018 23:47;22.02.2018 23:32;0:03:25;22.02.2018 23:32;;0:06:11;22.02.2018 23:26;22.02.2018 23:26;22.02.2018 23:32;;0;;;1;;0;;30.2687976908,59.9701550534;30.361458,59.931102;;0;0;109,98;9773;6144;;;;704178;;;;;;;0;22.02.2018 23:26;;;;;Безналичные;Завершен;Яндекс.Безналичный;Volkswagen Polo;;f34face0903b432782dadbe2d16b959d;
Рядом с: Бодров переулок;До пункта: улица Турку, 29к1;;;22.02.2018 23:24;22.02.2018 23:32;23:24:10;;;23:23:56;;22.02.2018 23:23;22.02.2018 23:32;;0;;;1;;0;;30.2455421649,59.9749273956;30.406427,59.866292;;0;0;0;9768;2048;;;;704178;;;;Reject: manual;;;0;22.02.2018 23:23;;;;;Безналичные;Отменен;Яндекс.Безналичный;Volkswagen Polo;;77f03a3941164afb856c034e7f1fb673;
Футбольная аллея, 1;посёлок Парголово, улица Михаила Дудина;;;22.02.2018 23:17;22.02.2018 23:32;23:17:51;;;23:17:42;;22.02.2018 23:17;22.02.2018 23:32;;0;;;4;;0;;30.2229120261,59.9724014172;30.330951,60.068623;;0;0;0;9765;0;;;;759178;;;;Reject: manual;;;0;22.02.2018 23:17;;;;;Наличные;Отменен;Яндекс;BMW 5er;;0ee7b918157f49f0b875925063ca87bc;
Рядом с: набережная Мартынова;До пункта: 2-я Берёзовая аллея, 13-15;;;22.02.2018 23:25;22.02.2018 23:30;23:25:50;;;23:25:19;22.02.2018 23:25;22.02.2018 23:25;22.02.2018 23:30;;0;;;1;;0;;30.258361805,59.9745643286;30.2896549729,59.9805529826;;0;0;0;9770;0;;;;704178;;;;user;;;0;22.02.2018 23:25;;;;;Наличные;Отменен;Яндекс;Volkswagen Polo;;b62f4baa854643bc993d0f3faac49966;
Рядом с: Малый проспект Петроградской стороны;До пункта: Александровский парк, 4к3, Великан Парк;;;22.02.2018 23:24;22.02.2018 23:30;23:24:27;;;23:24:18;;22.02.2018 23:24;22.02.2018 23:30;;0;;;1;;0;;30.2962288318,59.9595134879;30.314396,59.956078;;0;0;0;9769;0;;;;704178;;;;Reject: manual;;;0;22.02.2018 23:24;;;;;Наличные;Отменен;Яндекс;Volkswagen Polo;;89f71233048c4f2bbbe1a605dea380f6;
Рядом с: Бассейная улица, 41;До пункта: проспект Космонавтов, 52к2;;;22.02.2018 23:26;22.02.2018 23:30;23:26:05;;;23:26:01;;22.02.2018 23:26;22.02.2018 23:30;;0;;;1;;0;;30.3218989138,59.8647360064;30.357006116,59.846881287;;0;0;0;9771;0;;;;190178;;;;user;;;0;22.02.2018 23:26;;;;;Наличные;Отменен;Яндекс;Hyundai Solaris;;2ddd5c9c00a146a9981ad18f9cfe86af;
Константиновский проспект, 18;Пулковская улица, 8, корп. 1, Народная 7Я семьЯ;;;22.02.2018 23:23;22.02.2018 23:28;23:23:28;;;23:23:22;;22.02.2018 23:23;22.02.2018 23:28;;0;;;1;;0;;30.2697396374,59.9718765738;30.350699,59.837491;;0;0;0;9766;0;;;;704178;;;;Reject: manual;;;0;22.02.2018 23:23;;;;;Наличные;Отменен;Яндекс;Volkswagen Polo;;de96eb34bbda4342bbd64916abf24898;
Рядом с: Кемская улица, 1;До пункта: Железноводская улица, 32;;;22.02.2018 23:23;22.02.2018 23:28;23:23:46;;;23:23:36;;22.02.2018 23:23;22.02.2018 23:28;;0;;;1;;0;;30.2589867776,59.9732482718;30.250381,59.952078;;0;0;0;9767;0;;;;704178;;;;Reject: manual;;;0;22.02.2018 23:23;;;;;Наличные;Отменен;Яндекс;Volkswagen Polo;;02dd8b98d0744694bdacdd24092ff3e9;
Рядом с: Футбольная аллея;До пункта: Аптекарский проспект, 18;;;22.02.2018 23:17;22.02.2018 23:02;23:17:27;;;22:45:03;22.02.2018 22:45;22.02.2018 22:45;22.02.2018 23:02;;0;;;4;;0;;30.2261260341,59.9732907165;30.317936423,59.9742657447;;0;0;0;9763;0;;;;759178;;;;user;;;0;22.02.2018 22:45;;;;;Наличные;Отменен;Яндекс;BMW 5er;;b31a1776bd144e0aac51243c42b259f9;
